t,p,Gp,Np,total_Gp,Wp,Bg,Bw,z
0,8490,0,0,0,0,0.5404,1.0518,1.271392
0.5,8330,1758,2000,1759.42,0,0.5458,1.052,1.259897
1,8323,5852,30000,5873.24,1000,0.546,1.052,1.259299
1.5,8166,10410,66000,10456.73,3000,0.5516,1.0522,1.248217
2,8100,14828,98000,14897.38,4000,0.554,1.0522,1.243516
2.5,7905,21097,138000,21194.7,7000,0.5614,1.0524,1.229789
3,7854,26399,180000,26526.44,9000,0.5634,1.0525,1.226208
3.5,7858,30042,215000,30194.22,10000,0.5632,1.0525,1.226397
4,7900,32766,237000,32933.8,11000,0.5616,1.0524,1.229449
4.5,7971,34548,257000,34729.96,11000,0.5588,1.0524,1.234314
5,7883,37590,282000,37789.66,12000,0.5622,1.0525,1.228114
5.5,7728,42446,314000,42668.31,16000,0.5684,1.0526,1.217244
6,7550,51117,375000,51382.5,54000,0.5759,1.0528,1.204899
6.5,7446,57697,420000,57994.36,153000,0.5804,1.0529,1.197586
7,7400,63678,465000,64007.22,433000,0.5825,1.053,1.194494
7.5,7600,65432,475000,65768.3,715000,0.5737,1.0528,1.208245
8,7675,65613,475000,65949.3,753000,0.5706,1.0528,1.213575
8.5,7600,67593,477000,67930.72,1042000,0.5737,1.0527,1.208245
9,7600,70688,484000,71030.67,1237000,0.5737,1.0528,1.208245
9.5,7615,72226,488000,72571.5,1575000,0.5731,1.0527,1.209363
10,7623,72943,489000,73289.21,2383000,0.5728,1.0527,1.21
