date,p,Np,Wp,Wi,Gp,Rs
1996,1950,360085,1845,0,23045000,64
1997,1834,17230861,39236,0,1102775000,64
1998,1681,38651717,97909,0,2473713000,64
1999,1560,68957151,254876,0,4413261000,64
2000,1473,95057167,297686,38824,6083661000,64
2001,1353,124251053,673783,12197536,7952070000,64
2002,1287,154528553,1011278,25395003,9889832000,64
2003,1247,191899252,2253789,50762076,12281556000,64
2004,1239,229090690,3898144,83580287,14661809000,64
2005,1231,265394171,5591112,115457824,16985232000,64
2006,1224,301951918,7856842,149585083,19324929000,64
2007,1200,338308989,10786529,183013606,21651781000,64
2008,1182,373580320,14711414,215140193,23909150000,64
2009,1138,405855680,18936798,242483501,25974775000,64
2010,1137,439503085,24703101,278488838,28128195000,64
2011,1136,456513143,28519165.41,293748836,29219820584,64
