date,z,p,Np,Wp,Wi,Gp,Bo,Rs
1996,0.700638213,1950,360085,1845,0,23045000,1.081087247,64
1997,0.702141586,1834,17230861,39236,0,1102775000,1.081212698,64
1998,0.70812706,1681,38651717,97909,0,2473713000,1.081404669,64
1999,0.716361644,1560,68957151,254876,0,4413261000,1.081583186,64
2000,0.724264286,1473,95057167,297686,38824,6083661000,1.081729688,64
2001,0.737850272,1353,124251053,673783,12197536,7952070000,1.081962716,64
2002,0.746588313,1287,154528553,1011278,25395003,9889832000,1.08210943,64
2003,0.75229337,1247,191899252,2253789,50762076,12281556000,1.082205917,64
2004,0.753469865,1239,229090690,3898144,83580287,14661809000,1.082225963,64
2005,0.754657905,1231,265394171,5591112,115457824,16985232000,1.08224627,64
2006,0.755706814,1224,301951918,7856842,149585083,19324929000,1.082264256,64
2007,0.759368278,1200,338308989,10786529,183013606,21651781000,1.08232752,64
2008,0.762179051,1182,373580320,14711414,215140193,23909150000,1.082376657,64
2009,0.769272832,1138,405855680,18936798,242483501,25974775000,1.082503322,64
2010,0.769437604,1137,439503085,24703101,278488838,28128195000,1.082506315,64
2011,0.76960253,1136,456513143,28519165.41,293748836,29219820584,1.082509313,64
